id,visitors
air_00a91d42b08b08d9_2017-04-23,4.340347856794247
air_00a91d42b08b08d9_2017-04-24,22.73936298022856
air_00a91d42b08b08d9_2017-04-25,29.535532360297974
air_00a91d42b08b08d9_2017-04-26,29.319550933961583
air_00a91d42b08b08d9_2017-04-27,31.838668592258955
air_00a91d42b08b08d9_2017-04-28,36.08955227842638
air_00a91d42b08b08d9_2017-04-29,12.627623264789477
air_00a91d42b08b08d9_2017-04-30,4.29588162152282
air_00a91d42b08b08d9_2017-05-01,22.35764844719829
air_00a91d42b08b08d9_2017-05-02,31.561172919036323
air_00a91d42b08b08d9_2017-05-03,27.902161883314427
air_00a91d42b08b08d9_2017-05-04,27.38900741639272
air_00a91d42b08b08d9_2017-05-05,26.513483649227435
air_00a91d42b08b08d9_2017-05-06,11.010507979377966
air_00a91d42b08b08d9_2017-05-07,4.311381932510717
air_00a91d42b08b08d9_2017-05-08,22.438767046031366
air_00a91d42b08b08d9_2017-05-09,28.72477902030323
air_00a91d42b08b08d9_2017-05-10,28.34185512770148
air_00a91d42b08b08d9_2017-05-11,30.777216714210148
air_00a91d42b08b08d9_2017-05-12,34.92827819723066
air_00a91d42b08b08d9_2017-05-13,11.370916511630229
air_00a91d42b08b08d9_2017-05-14,4.325286056619121
air_00a91d42b08b08d9_2017-05-15,22.727757730409554
air_00a91d42b08b08d9_2017-05-16,29.45761526823794
air_00a91d42b08b08d9_2017-05-17,28.892583153310582
air_00a91d42b08b08d9_2017-05-18,31.380172560151834
air_00a91d42b08b08d9_2017-05-19,35.45948378091981
air_00a91d42b08b08d9_2017-05-20,11.607408720603749
air_00a91d42b08b08d9_2017-05-21,4.340347856794247
air_00a91d42b08b08d9_2017-05-22,22.70726363727424
air_00a91d42b08b08d9_2017-05-23,29.501680206268123
air_00a91d42b08b08d9_2017-05-24,28.935830624020696
air_00a91d42b08b08d9_2017-05-25,31.463007964830403
air_00a91d42b08b08d9_2017-05-26,35.615238969899956
air_00a91d42b08b08d9_2017-05-27,11.65038858579288
air_00a91d42b08b08d9_2017-05-28,4.3447775922487635
air_00a91d42b08b08d9_2017-05-29,23.206026627380403
air_00a91d42b08b08d9_2017-05-30,29.764358353171293
air_00a91d42b08b08d9_2017-05-31,29.168973621760674
air_0164b9927d20bcc3_2017-04-23,3.882880155412507
air_0164b9927d20bcc3_2017-04-24,5.598622278915655
air_0164b9927d20bcc3_2017-04-25,7.405786305776905
air_0164b9927d20bcc3_2017-04-26,8.210248440528833
air_0164b9927d20bcc3_2017-04-27,8.076412519514006
air_0164b9927d20bcc3_2017-04-28,10.17284333430403
air_0164b9927d20bcc3_2017-04-29,5.39752024038341
air_0164b9927d20bcc3_2017-04-30,3.807838216257834
air_0164b9927d20bcc3_2017-05-01,5.519588266115402
air_0164b9927d20bcc3_2017-05-02,8.25484626777807
air_0164b9927d20bcc3_2017-05-03,9.304278923545699
air_0164b9927d20bcc3_2017-05-04,8.89906598776377
air_0164b9927d20bcc3_2017-05-05,8.889896041143864
air_0164b9927d20bcc3_2017-05-06,4.845143147446294
air_0164b9927d20bcc3_2017-05-07,3.846537710634877
air_0164b9927d20bcc3_2017-05-08,5.528827274197101
air_0164b9927d20bcc3_2017-05-09,7.195968282741568
air_0164b9927d20bcc3_2017-05-10,7.9104095771057565
air_0164b9927d20bcc3_2017-05-11,7.778882784317766
air_0164b9927d20bcc3_2017-05-12,9.446261303449507
air_0164b9927d20bcc3_2017-05-13,4.965451073147045
air_0164b9927d20bcc3_2017-05-14,3.86674070959959
air_0164b9927d20bcc3_2017-05-15,5.59195395543163
air_0164b9927d20bcc3_2017-05-16,7.386576047570442
air_0164b9927d20bcc3_2017-05-17,8.105955985556283
air_0164b9927d20bcc3_2017-05-18,7.974078778582989
air_0164b9927d20bcc3_2017-05-19,9.667067445899624
air_0164b9927d20bcc3_2017-05-20,5.015836884521577
air_0164b9927d20bcc3_2017-05-21,3.882880155412507
air_0164b9927d20bcc3_2017-05-22,5.58797990910329
air_0164b9927d20bcc3_2017-05-23,7.405786305776905
air_0164b9927d20bcc3_2017-05-24,8.126814052627632
air_0164b9927d20bcc3_2017-05-25,7.994634768241205
air_0164b9927d20bcc3_2017-05-26,9.692178623887605
air_0164b9927d20bcc3_2017-05-27,5.033851108412909
air_0164b9927d20bcc3_2017-05-28,3.883554596528989
air_0164b9927d20bcc3_2017-05-29,5.676113928163173
air_0164b9927d20bcc3_2017-05-30,7.455998891273799
air_0164b9927d20bcc3_2017-05-31,8.172910433124699
air_0241aa3964b7f861_2017-04-23,8.807685434839923
air_0241aa3964b7f861_2017-04-24,7.552498017475248
